query_index,query,video_id,start,end
7,"Winter, night, snowy field, log cabin",Pwv4avomXYo,138.0,138.0
7,"Winter, night, snowy field, log cabin",Pwv4avomXYo,137.25,137.25
7,"Winter, night, snowy field, log cabin",Pwv4avomXYo,142.0,142.0
8,"five people, hammer, ice",Pwv4avomXYo,139.25,139.25
8,"five people, hammer, ice",Pwv4avomXYo,137.75,137.75
8,"five people, hammer, ice",Pwv4avomXYo,138.0,138.0
8,"five people, hammer, ice",Pwv4avomXYo,137.25,137.25
8,"five people, hammer, ice",Pwv4avomXYo,142.0,142.0
9,A man with something on his face points a gun,Pwv4avomXYo,139.25,139.25
9,A man with something on his face points a gun,Pwv4avomXYo,137.75,137.75
9,A man with something on his face points a gun,Pwv4avomXYo,138.0,138.0
9,A man with something on his face points a gun,Pwv4avomXYo,137.25,137.25
9,A man with something on his face points a gun,Pwv4avomXYo,142.0,142.0
10,A man wearing sunglasses and a hat is standing holding an ice cream in one hand,Pwv4avomXYo,139.25,139.25
10,A man wearing sunglasses and a hat is standing holding an ice cream in one hand,Pwv4avomXYo,137.75,137.75
10,A man wearing sunglasses and a hat is standing holding an ice cream in one hand,Pwv4avomXYo,138.0,138.0
10,A man wearing sunglasses and a hat is standing holding an ice cream in one hand,Pwv4avomXYo,137.25,137.25
10,A man wearing sunglasses and a hat is standing holding an ice cream in one hand,Pwv4avomXYo,142.0,142.0
11,Police take away boy's ice cream and throw it back,Pwv4avomXYo,139.25,139.25
11,Police take away boy's ice cream and throw it back,Pwv4avomXYo,137.75,137.75
11,Police take away boy's ice cream and throw it back,Pwv4avomXYo,138.0,138.0
11,Police take away boy's ice cream and throw it back,Pwv4avomXYo,137.25,137.25
11,Police take away boy's ice cream and throw it back,Pwv4avomXYo,142.0,142.0
12,Man pushes police officer down with police car,Pwv4avomXYo,139.25,139.25
12,Man pushes police officer down with police car,Pwv4avomXYo,137.75,137.75
12,Man pushes police officer down with police car,Pwv4avomXYo,138.0,138.0
12,Man pushes police officer down with police car,Pwv4avomXYo,137.25,137.25
12,Man pushes police officer down with police car,Pwv4avomXYo,142.0,142.0
13,police apologize to boy,Pwv4avomXYo,139.25,139.25
13,police apologize to boy,Pwv4avomXYo,137.75,137.75
13,police apologize to boy,Pwv4avomXYo,138.0,138.0
13,police apologize to boy,Pwv4avomXYo,137.25,137.25
13,police apologize to boy,Pwv4avomXYo,142.0,142.0
14,Police holding guns and telling people not to move,Pwv4avomXYo,139.25,139.25
14,Police holding guns and telling people not to move,Pwv4avomXYo,137.75,137.75
14,Police holding guns and telling people not to move,Pwv4avomXYo,138.0,138.0
14,Police holding guns and telling people not to move,Pwv4avomXYo,137.25,137.25
14,Police holding guns and telling people not to move,Pwv4avomXYo,142.0,142.0
15,"BULWORTH, 2 blue posters, man",Pwv4avomXYo,139.25,139.25
15,"BULWORTH, 2 blue posters, man",Pwv4avomXYo,137.75,137.75
15,"BULWORTH, 2 blue posters, man",Pwv4avomXYo,138.0,138.0
15,"BULWORTH, 2 blue posters, man",Pwv4avomXYo,137.25,137.25
15,"BULWORTH, 2 blue posters, man",Pwv4avomXYo,142.0,142.0
16,"bald, black, boy, sunglasses",Pwv4avomXYo,139.25,139.25
16,"bald, black, boy, sunglasses",Pwv4avomXYo,137.75,137.75
16,"bald, black, boy, sunglasses",Pwv4avomXYo,138.0,138.0
16,"bald, black, boy, sunglasses",Pwv4avomXYo,137.25,137.25
16,"bald, black, boy, sunglasses",Pwv4avomXYo,142.0,142.0
17,A store employee is holding a black marker,Pwv4avomXYo,139.25,139.25
17,A store employee is holding a black marker,Pwv4avomXYo,137.75,137.75
17,A store employee is holding a black marker,Pwv4avomXYo,138.0,138.0
17,A store employee is holding a black marker,Pwv4avomXYo,137.25,137.25
17,A store employee is holding a black marker,Pwv4avomXYo,142.0,142.0
18,Employees are riding carts in the store,Pwv4avomXYo,139.25,139.25
18,Employees are riding carts in the store,Pwv4avomXYo,137.75,137.75
18,Employees are riding carts in the store,Pwv4avomXYo,138.0,138.0
18,Employees are riding carts in the store,Pwv4avomXYo,137.25,137.25
18,Employees are riding carts in the store,Pwv4avomXYo,142.0,142.0
19,The chair the man was sitting on collapsed.,Pwv4avomXYo,139.25,139.25
19,The chair the man was sitting on collapsed.,Pwv4avomXYo,137.75,137.75
19,The chair the man was sitting on collapsed.,Pwv4avomXYo,138.0,138.0
19,The chair the man was sitting on collapsed.,Pwv4avomXYo,137.25,137.25
19,The chair the man was sitting on collapsed.,Pwv4avomXYo,142.0,142.0
20,Two men running around with mops in a supermarket,Pwv4avomXYo,139.25,139.25
20,Two men running around with mops in a supermarket,Pwv4avomXYo,137.75,137.75
20,Two men running around with mops in a supermarket,Pwv4avomXYo,138.0,138.0
20,Two men running around with mops in a supermarket,Pwv4avomXYo,137.25,137.25
20,Two men running around with mops in a supermarket,Pwv4avomXYo,142.0,142.0
21,A boy begs his mother to buy him a toy,Pwv4avomXYo,139.25,139.25
21,A boy begs his mother to buy him a toy,Pwv4avomXYo,137.75,137.75
21,A boy begs his mother to buy him a toy,Pwv4avomXYo,138.0,138.0
21,A boy begs his mother to buy him a toy,Pwv4avomXYo,137.25,137.25
21,A boy begs his mother to buy him a toy,Pwv4avomXYo,142.0,142.0
22,Woman says her name is Amy,Pwv4avomXYo,139.25,139.25
22,Woman says her name is Amy,Pwv4avomXYo,137.75,137.75
22,Woman says her name is Amy,Pwv4avomXYo,138.0,138.0
22,Woman says her name is Amy,Pwv4avomXYo,137.25,137.25
22,Woman says her name is Amy,Pwv4avomXYo,142.0,142.0
23,"man, bed, 5:52, wake up",Pwv4avomXYo,139.25,139.25
23,"man, bed, 5:52, wake up",Pwv4avomXYo,137.75,137.75
23,"man, bed, 5:52, wake up",Pwv4avomXYo,138.0,138.0
23,"man, bed, 5:52, wake up",Pwv4avomXYo,137.25,137.25
23,"man, bed, 5:52, wake up",Pwv4avomXYo,142.0,142.0
24,"blonde hair, blue vest, man, black macaque",Pwv4avomXYo,139.25,139.25
24,"blonde hair, blue vest, man, black macaque",Pwv4avomXYo,137.75,137.75
24,"blonde hair, blue vest, man, black macaque",Pwv4avomXYo,138.0,138.0
24,"blonde hair, blue vest, man, black macaque",Pwv4avomXYo,137.25,137.25
24,"blonde hair, blue vest, man, black macaque",Pwv4avomXYo,142.0,142.0
25,"Among two identical looking men, the man on the left points to the man on the right.",Pwv4avomXYo,139.25,139.25
25,"Among two identical looking men, the man on the left points to the man on the right.",Pwv4avomXYo,137.75,137.75
25,"Among two identical looking men, the man on the left points to the man on the right.",Pwv4avomXYo,138.0,138.0
25,"Among two identical looking men, the man on the left points to the man on the right.",Pwv4avomXYo,137.25,137.25
25,"Among two identical looking men, the man on the left points to the man on the right.",Pwv4avomXYo,142.0,142.0
26,Three figures standing on top of an ice mountain holding torches and looking down,Pwv4avomXYo,139.25,139.25
26,Three figures standing on top of an ice mountain holding torches and looking down,Pwv4avomXYo,137.75,137.75
26,Three figures standing on top of an ice mountain holding torches and looking down,Pwv4avomXYo,138.0,138.0
26,Three figures standing on top of an ice mountain holding torches and looking down,Pwv4avomXYo,137.25,137.25
26,Three figures standing on top of an ice mountain holding torches and looking down,Pwv4avomXYo,142.0,142.0
27,A woman transforms into another man,Pwv4avomXYo,139.25,139.25
27,A woman transforms into another man,Pwv4avomXYo,137.75,137.75
27,A woman transforms into another man,Pwv4avomXYo,138.0,138.0
27,A woman transforms into another man,Pwv4avomXYo,137.25,137.25
27,A woman transforms into another man,Pwv4avomXYo,142.0,142.0
28,Two identical looking men punch each other in the face,Pwv4avomXYo,139.25,139.25
28,Two identical looking men punch each other in the face,Pwv4avomXYo,137.75,137.75
28,Two identical looking men punch each other in the face,Pwv4avomXYo,138.0,138.0
28,Two identical looking men punch each other in the face,Pwv4avomXYo,137.25,137.25
28,Two identical looking men punch each other in the face,Pwv4avomXYo,142.0,142.0
29,"When asked if he wanted to go back, the man answered absolutely no.",Pwv4avomXYo,139.25,139.25
29,"When asked if he wanted to go back, the man answered absolutely no.",Pwv4avomXYo,137.75,137.75
29,"When asked if he wanted to go back, the man answered absolutely no.",Pwv4avomXYo,138.0,138.0
29,"When asked if he wanted to go back, the man answered absolutely no.",Pwv4avomXYo,137.25,137.25
29,"When asked if he wanted to go back, the man answered absolutely no.",Pwv4avomXYo,142.0,142.0
30,Two men accuse each other of being fake,Pwv4avomXYo,139.25,139.25
30,Two men accuse each other of being fake,Pwv4avomXYo,137.75,137.75
30,Two men accuse each other of being fake,Pwv4avomXYo,138.0,138.0
30,Two men accuse each other of being fake,Pwv4avomXYo,137.25,137.25
30,Two men accuse each other of being fake,Pwv4avomXYo,142.0,142.0
31,"Torch, ice mountain and three figures",Pwv4avomXYo,139.25,139.25
31,"Torch, ice mountain and three figures",Pwv4avomXYo,137.75,137.75
31,"Torch, ice mountain and three figures",Pwv4avomXYo,138.0,138.0
31,"Torch, ice mountain and three figures",Pwv4avomXYo,137.25,137.25
31,"Torch, ice mountain and three figures",Pwv4avomXYo,142.0,142.0
32,"One eye, red laser",Pwv4avomXYo,139.25,139.25
32,"One eye, red laser",Pwv4avomXYo,137.75,137.75
32,"One eye, red laser",Pwv4avomXYo,138.0,138.0
32,"One eye, red laser",Pwv4avomXYo,137.25,137.25
32,"One eye, red laser",Pwv4avomXYo,142.0,142.0
33,"Two youth football teams face off on the field, preparing for a game",Pwv4avomXYo,139.25,139.25
33,"Two youth football teams face off on the field, preparing for a game",Pwv4avomXYo,137.75,137.75
33,"Two youth football teams face off on the field, preparing for a game",Pwv4avomXYo,138.0,138.0
33,"Two youth football teams face off on the field, preparing for a game",Pwv4avomXYo,137.25,137.25
33,"Two youth football teams face off on the field, preparing for a game",Pwv4avomXYo,142.0,142.0
34,A man wearing a black hat and a man wearing a white hat are facing each other,Pwv4avomXYo,139.25,139.25
34,A man wearing a black hat and a man wearing a white hat are facing each other,Pwv4avomXYo,137.75,137.75
34,A man wearing a black hat and a man wearing a white hat are facing each other,Pwv4avomXYo,138.0,138.0
34,A man wearing a black hat and a man wearing a white hat are facing each other,Pwv4avomXYo,137.25,137.25
34,A man wearing a black hat and a man wearing a white hat are facing each other,Pwv4avomXYo,142.0,142.0
35,A man wearing a light blue hat pulls the whistle around the neck of a man wearing a white hat.,Pwv4avomXYo,139.25,139.25
35,A man wearing a light blue hat pulls the whistle around the neck of a man wearing a white hat.,Pwv4avomXYo,137.75,137.75
35,A man wearing a light blue hat pulls the whistle around the neck of a man wearing a white hat.,Pwv4avomXYo,138.0,138.0
35,A man wearing a light blue hat pulls the whistle around the neck of a man wearing a white hat.,Pwv4avomXYo,137.25,137.25
35,A man wearing a light blue hat pulls the whistle around the neck of a man wearing a white hat.,Pwv4avomXYo,142.0,142.0
36,A man wearing a black hat takes off his hat and whistle and hands them to a man wearing a white hat.,Pwv4avomXYo,139.25,139.25
36,A man wearing a black hat takes off his hat and whistle and hands them to a man wearing a white hat.,Pwv4avomXYo,137.75,137.75
36,A man wearing a black hat takes off his hat and whistle and hands them to a man wearing a white hat.,Pwv4avomXYo,138.0,138.0
36,A man wearing a black hat takes off his hat and whistle and hands them to a man wearing a white hat.,Pwv4avomXYo,137.25,137.25
36,A man wearing a black hat takes off his hat and whistle and hands them to a man wearing a white hat.,Pwv4avomXYo,142.0,142.0
37,A man yells at people not to kick the ball because this isn't soccer,Pwv4avomXYo,139.25,139.25
37,A man yells at people not to kick the ball because this isn't soccer,Pwv4avomXYo,137.75,137.75
37,A man yells at people not to kick the ball because this isn't soccer,Pwv4avomXYo,138.0,138.0
37,A man yells at people not to kick the ball because this isn't soccer,Pwv4avomXYo,137.25,137.25
37,A man yells at people not to kick the ball because this isn't soccer,Pwv4avomXYo,142.0,142.0
38,A man praises a child wearing light blue football gear,Pwv4avomXYo,139.25,139.25
38,A man praises a child wearing light blue football gear,Pwv4avomXYo,137.75,137.75
38,A man praises a child wearing light blue football gear,Pwv4avomXYo,138.0,138.0
38,A man praises a child wearing light blue football gear,Pwv4avomXYo,137.25,137.25
38,A man praises a child wearing light blue football gear,Pwv4avomXYo,142.0,142.0
39,"red helmet, yellow helmet, football, ready",Pwv4avomXYo,139.25,139.25
39,"red helmet, yellow helmet, football, ready",Pwv4avomXYo,137.75,137.75
39,"red helmet, yellow helmet, football, ready",Pwv4avomXYo,138.0,138.0
39,"red helmet, yellow helmet, football, ready",Pwv4avomXYo,137.25,137.25
39,"red helmet, yellow helmet, football, ready",Pwv4avomXYo,142.0,142.0
40,"light blue uniform, football, boy, tooth missing",Pwv4avomXYo,139.25,139.25
40,"light blue uniform, football, boy, tooth missing",Pwv4avomXYo,137.75,137.75
40,"light blue uniform, football, boy, tooth missing",Pwv4avomXYo,138.0,138.0
40,"light blue uniform, football, boy, tooth missing",Pwv4avomXYo,137.25,137.25
40,"light blue uniform, football, boy, tooth missing",Pwv4avomXYo,142.0,142.0
41,Three men and women face backwards against a background of contrasting colors,Pwv4avomXYo,139.25,139.25
41,Three men and women face backwards against a background of contrasting colors,Pwv4avomXYo,137.75,137.75
41,Three men and women face backwards against a background of contrasting colors,Pwv4avomXYo,138.0,138.0
41,Three men and women face backwards against a background of contrasting colors,Pwv4avomXYo,137.25,137.25
41,Three men and women face backwards against a background of contrasting colors,Pwv4avomXYo,142.0,142.0
42,A woman wearing a pink striped top is holding several towels in her hands,Pwv4avomXYo,139.25,139.25
42,A woman wearing a pink striped top is holding several towels in her hands,Pwv4avomXYo,137.75,137.75
42,A woman wearing a pink striped top is holding several towels in her hands,Pwv4avomXYo,138.0,138.0
42,A woman wearing a pink striped top is holding several towels in her hands,Pwv4avomXYo,137.25,137.25
42,A woman wearing a pink striped top is holding several towels in her hands,Pwv4avomXYo,142.0,142.0
43,A shoe flies off and a window breaks,Pwv4avomXYo,139.25,139.25
43,A shoe flies off and a window breaks,Pwv4avomXYo,137.75,137.75
43,A shoe flies off and a window breaks,Pwv4avomXYo,138.0,138.0
43,A shoe flies off and a window breaks,Pwv4avomXYo,137.25,137.25
43,A shoe flies off and a window breaks,Pwv4avomXYo,142.0,142.0
44,A man chews a flower in his mouth in the grass,Pwv4avomXYo,139.25,139.25
44,A man chews a flower in his mouth in the grass,Pwv4avomXYo,137.75,137.75
44,A man chews a flower in his mouth in the grass,Pwv4avomXYo,138.0,138.0
44,A man chews a flower in his mouth in the grass,Pwv4avomXYo,137.25,137.25
44,A man chews a flower in his mouth in the grass,Pwv4avomXYo,142.0,142.0
45,The man says he will go to the hotel to check if there is a room available.,Pwv4avomXYo,139.25,139.25
45,The man says he will go to the hotel to check if there is a room available.,Pwv4avomXYo,137.75,137.75
45,The man says he will go to the hotel to check if there is a room available.,Pwv4avomXYo,138.0,138.0
45,The man says he will go to the hotel to check if there is a room available.,Pwv4avomXYo,137.25,137.25
45,The man says he will go to the hotel to check if there is a room available.,Pwv4avomXYo,142.0,142.0
46,A man tells a woman to cover her ears,Pwv4avomXYo,139.25,139.25
46,A man tells a woman to cover her ears,Pwv4avomXYo,137.75,137.75
46,A man tells a woman to cover her ears,Pwv4avomXYo,138.0,138.0
46,A man tells a woman to cover her ears,Pwv4avomXYo,137.25,137.25
46,A man tells a woman to cover her ears,Pwv4avomXYo,142.0,142.0
47,"rose, towel, woman",Pwv4avomXYo,139.25,139.25
47,"rose, towel, woman",Pwv4avomXYo,137.75,137.75
47,"rose, towel, woman",Pwv4avomXYo,138.0,138.0
47,"rose, towel, woman",Pwv4avomXYo,137.25,137.25
47,"rose, towel, woman",Pwv4avomXYo,142.0,142.0
48,"heart, blood vessels, snowflakes",Pwv4avomXYo,139.25,139.25
48,"heart, blood vessels, snowflakes",Pwv4avomXYo,137.75,137.75
48,"heart, blood vessels, snowflakes",Pwv4avomXYo,138.0,138.0
48,"heart, blood vessels, snowflakes",Pwv4avomXYo,137.25,137.25
48,"heart, blood vessels, snowflakes",Pwv4avomXYo,142.0,142.0
49,"Two old women stare at the screen with serious expressions, holding a cushion with a young man's face printed on it.",Pwv4avomXYo,139.25,139.25
49,"Two old women stare at the screen with serious expressions, holding a cushion with a young man's face printed on it.",Pwv4avomXYo,137.75,137.75
49,"Two old women stare at the screen with serious expressions, holding a cushion with a young man's face printed on it.",Pwv4avomXYo,138.0,138.0
49,"Two old women stare at the screen with serious expressions, holding a cushion with a young man's face printed on it.",Pwv4avomXYo,137.25,137.25
49,"Two old women stare at the screen with serious expressions, holding a cushion with a young man's face printed on it.",Pwv4avomXYo,142.0,142.0
50,A man sitting in a bathtub is looking straight ahead and a remote control is placed in front of him.,Pwv4avomXYo,139.25,139.25
50,A man sitting in a bathtub is looking straight ahead and a remote control is placed in front of him.,Pwv4avomXYo,137.75,137.75
50,A man sitting in a bathtub is looking straight ahead and a remote control is placed in front of him.,Pwv4avomXYo,138.0,138.0
50,A man sitting in a bathtub is looking straight ahead and a remote control is placed in front of him.,Pwv4avomXYo,137.25,137.25
50,A man sitting in a bathtub is looking straight ahead and a remote control is placed in front of him.,Pwv4avomXYo,142.0,142.0
51,A man bows before the door,Pwv4avomXYo,139.25,139.25
51,A man bows before the door,Pwv4avomXYo,137.75,137.75
51,A man bows before the door,Pwv4avomXYo,138.0,138.0
51,A man bows before the door,Pwv4avomXYo,137.25,137.25
51,A man bows before the door,Pwv4avomXYo,142.0,142.0
52,A man goes out the door on a sky blue background,Pwv4avomXYo,139.25,139.25
52,A man goes out the door on a sky blue background,Pwv4avomXYo,137.75,137.75
52,A man goes out the door on a sky blue background,Pwv4avomXYo,138.0,138.0
52,A man goes out the door on a sky blue background,Pwv4avomXYo,137.25,137.25
52,A man goes out the door on a sky blue background,Pwv4avomXYo,142.0,142.0
53,"A man greets lunch, dinner, and night at the same time",Pwv4avomXYo,139.25,139.25
53,"A man greets lunch, dinner, and night at the same time",Pwv4avomXYo,137.75,137.75
53,"A man greets lunch, dinner, and night at the same time",Pwv4avomXYo,138.0,138.0
53,"A man greets lunch, dinner, and night at the same time",Pwv4avomXYo,137.25,137.25
53,"A man greets lunch, dinner, and night at the same time",Pwv4avomXYo,142.0,142.0
54,The man says you will not be able to go out because you are afraid.,Pwv4avomXYo,139.25,139.25
54,The man says you will not be able to go out because you are afraid.,Pwv4avomXYo,137.75,137.75
54,The man says you will not be able to go out because you are afraid.,Pwv4avomXYo,138.0,138.0
54,The man says you will not be able to go out because you are afraid.,Pwv4avomXYo,137.25,137.25
54,The man says you will not be able to go out because you are afraid.,Pwv4avomXYo,142.0,142.0
55,"bathtub, male, remote control",Pwv4avomXYo,139.25,139.25
55,"bathtub, male, remote control",Pwv4avomXYo,137.75,137.75
55,"bathtub, male, remote control",Pwv4avomXYo,138.0,138.0
55,"bathtub, male, remote control",Pwv4avomXYo,137.25,137.25
55,"bathtub, male, remote control",Pwv4avomXYo,142.0,142.0
56,Two old ladies and men printed cushions,Pwv4avomXYo,139.25,139.25
56,Two old ladies and men printed cushions,Pwv4avomXYo,137.75,137.75
56,Two old ladies and men printed cushions,Pwv4avomXYo,138.0,138.0
56,Two old ladies and men printed cushions,Pwv4avomXYo,137.25,137.25
56,Two old ladies and men printed cushions,Pwv4avomXYo,142.0,142.0
57,"A woman grabs a man from behind and holds a knife to his throat, threatening him.",Pwv4avomXYo,139.25,139.25
57,"A woman grabs a man from behind and holds a knife to his throat, threatening him.",Pwv4avomXYo,137.75,137.75
57,"A woman grabs a man from behind and holds a knife to his throat, threatening him.",Pwv4avomXYo,138.0,138.0
57,"A woman grabs a man from behind and holds a knife to his throat, threatening him.",Pwv4avomXYo,137.25,137.25
57,"A woman grabs a man from behind and holds a knife to his throat, threatening him.",Pwv4avomXYo,142.0,142.0
58,"In a classic portrait, a man in yellow pants has a knife stuck in his lower body.",Pwv4avomXYo,139.25,139.25
58,"In a classic portrait, a man in yellow pants has a knife stuck in his lower body.",Pwv4avomXYo,137.75,137.75
58,"In a classic portrait, a man in yellow pants has a knife stuck in his lower body.",Pwv4avomXYo,138.0,138.0
58,"In a classic portrait, a man in yellow pants has a knife stuck in his lower body.",Pwv4avomXYo,137.25,137.25
58,"In a classic portrait, a man in yellow pants has a knife stuck in his lower body.",Pwv4avomXYo,142.0,142.0
59,A knife thrown by a woman gets stuck in a picture on the wall.,Pwv4avomXYo,139.25,139.25
59,A knife thrown by a woman gets stuck in a picture on the wall.,Pwv4avomXYo,137.75,137.75
59,A knife thrown by a woman gets stuck in a picture on the wall.,Pwv4avomXYo,138.0,138.0
59,A knife thrown by a woman gets stuck in a picture on the wall.,Pwv4avomXYo,137.25,137.25
59,A knife thrown by a woman gets stuck in a picture on the wall.,Pwv4avomXYo,142.0,142.0
60,"A woman steps on a chair, jumps over it, and lunges at the man.",Pwv4avomXYo,139.25,139.25
60,"A woman steps on a chair, jumps over it, and lunges at the man.",Pwv4avomXYo,137.75,137.75
60,"A woman steps on a chair, jumps over it, and lunges at the man.",Pwv4avomXYo,138.0,138.0
60,"A woman steps on a chair, jumps over it, and lunges at the man.",Pwv4avomXYo,137.25,137.25
60,"A woman steps on a chair, jumps over it, and lunges at the man.",Pwv4avomXYo,142.0,142.0
61,Woman says someone will die here tonight,Pwv4avomXYo,139.25,139.25
61,Woman says someone will die here tonight,Pwv4avomXYo,137.75,137.75
61,Woman says someone will die here tonight,Pwv4avomXYo,138.0,138.0
61,Woman says someone will die here tonight,Pwv4avomXYo,137.25,137.25
61,Woman says someone will die here tonight,Pwv4avomXYo,142.0,142.0
62,A man apologizes to a woman and asks her if she has a boyfriend,Pwv4avomXYo,139.25,139.25
62,A man apologizes to a woman and asks her if she has a boyfriend,Pwv4avomXYo,137.75,137.75
62,A man apologizes to a woman and asks her if she has a boyfriend,Pwv4avomXYo,138.0,138.0
62,A man apologizes to a woman and asks her if she has a boyfriend,Pwv4avomXYo,137.25,137.25
62,A man apologizes to a woman and asks her if she has a boyfriend,Pwv4avomXYo,142.0,142.0
63,"Portrait, frame, knife, yellow pants",Pwv4avomXYo,139.25,139.25
63,"Portrait, frame, knife, yellow pants",Pwv4avomXYo,137.75,137.75
63,"Portrait, frame, knife, yellow pants",Pwv4avomXYo,138.0,138.0
63,"Portrait, frame, knife, yellow pants",Pwv4avomXYo,137.25,137.25
63,"Portrait, frame, knife, yellow pants",Pwv4avomXYo,142.0,142.0
64,"Antique interior, red wallpaper, fighting, table",Pwv4avomXYo,139.25,139.25
64,"Antique interior, red wallpaper, fighting, table",Pwv4avomXYo,137.75,137.75
64,"Antique interior, red wallpaper, fighting, table",Pwv4avomXYo,138.0,138.0
64,"Antique interior, red wallpaper, fighting, table",Pwv4avomXYo,137.25,137.25
64,"Antique interior, red wallpaper, fighting, table",Pwv4avomXYo,142.0,142.0
65,Newlyweds kissing on a boat,Pwv4avomXYo,139.25,139.25
65,Newlyweds kissing on a boat,Pwv4avomXYo,137.75,137.75
65,Newlyweds kissing on a boat,Pwv4avomXYo,138.0,138.0
65,Newlyweds kissing on a boat,Pwv4avomXYo,137.25,137.25
65,Newlyweds kissing on a boat,Pwv4avomXYo,142.0,142.0
66,Heart-shaped parachute unfolds over the sea,Pwv4avomXYo,139.25,139.25
66,Heart-shaped parachute unfolds over the sea,Pwv4avomXYo,137.75,137.75
66,Heart-shaped parachute unfolds over the sea,Pwv4avomXYo,138.0,138.0
66,Heart-shaped parachute unfolds over the sea,Pwv4avomXYo,137.25,137.25
66,Heart-shaped parachute unfolds over the sea,Pwv4avomXYo,142.0,142.0
67,A man falls over a wedding cake,Pwv4avomXYo,139.25,139.25
67,A man falls over a wedding cake,Pwv4avomXYo,137.75,137.75
67,A man falls over a wedding cake,Pwv4avomXYo,138.0,138.0
67,A man falls over a wedding cake,Pwv4avomXYo,137.25,137.25
67,A man falls over a wedding cake,Pwv4avomXYo,142.0,142.0
68,A man and a woman wear parachutes and jump from a cliff into the sea,Pwv4avomXYo,139.25,139.25
68,A man and a woman wear parachutes and jump from a cliff into the sea,Pwv4avomXYo,137.75,137.75
68,A man and a woman wear parachutes and jump from a cliff into the sea,Pwv4avomXYo,138.0,138.0
68,A man and a woman wear parachutes and jump from a cliff into the sea,Pwv4avomXYo,137.25,137.25
68,A man and a woman wear parachutes and jump from a cliff into the sea,Pwv4avomXYo,142.0,142.0
69,mother tells her daughter she is done talking,Pwv4avomXYo,139.25,139.25
69,mother tells her daughter she is done talking,Pwv4avomXYo,137.75,137.75
69,mother tells her daughter she is done talking,Pwv4avomXYo,138.0,138.0
69,mother tells her daughter she is done talking,Pwv4avomXYo,137.25,137.25
69,mother tells her daughter she is done talking,Pwv4avomXYo,142.0,142.0
70,Daughter tells mother it was a good story,Pwv4avomXYo,139.25,139.25
70,Daughter tells mother it was a good story,Pwv4avomXYo,137.75,137.75
70,Daughter tells mother it was a good story,Pwv4avomXYo,138.0,138.0
70,Daughter tells mother it was a good story,Pwv4avomXYo,137.25,137.25
70,Daughter tells mother it was a good story,Pwv4avomXYo,142.0,142.0
71,"Tuxedo, wedding, 3 men, yellow flowers",Pwv4avomXYo,139.25,139.25
71,"Tuxedo, wedding, 3 men, yellow flowers",Pwv4avomXYo,137.75,137.75
71,"Tuxedo, wedding, 3 men, yellow flowers",Pwv4avomXYo,138.0,138.0
71,"Tuxedo, wedding, 3 men, yellow flowers",Pwv4avomXYo,137.25,137.25
71,"Tuxedo, wedding, 3 men, yellow flowers",Pwv4avomXYo,142.0,142.0
72,2 hearts on the sea,Pwv4avomXYo,139.25,139.25
